codigo,producto,precio_c_iva,,,,
A-879,"Abrazadera Cadmeada 1""1/4",2386.45,,,,
A-880,"Abrazadera Cadmeada 1""3/8",2416.81,,,,
A-881,"Abrazadera Cadmeada 1""1/2",2486.65,,,,
A-882,"Abrazadera cadmeada 1""5/8",2529.16,,,,
A-883,"Abrazadera cadmeada 1""3/4",2602.02,,,,
A-884,"Abrazadera cadmeada 1""7/8",2535.93,,,,
A-885,"Abrazadera cadmeada 2""",2711.34,,,,
A-886,"Abrazadera cadmeada 2""1/8",2687.59,,,,
A-887,"Abrazadera cadmeada 2""1/4",2942.49,,,,
A-888,"Abrazadera cadmeada 2""3/8",3130.05,,,,
A-889,"Abrazadera cadmeada 2""1/2",3199.61,,,,
A-890,"Abrazadera cadmeada 2""5/8",3275.79,,,,
A-890/1,"Abrazadera cadmeada 2""3/4",4097.77,,,,
A-890/2,"Abrazadera cadmeada 2""7/8",4148.01,,,,
A-891,"Abrazadera cadmeada 3""",4966.13,,,,
A-891/1,"Abrazadera cadmeada 3"" 1/8",5116.83,,,,
A-892,"Abrazadera cadmeada 3""1/2",5375.2,,,,
A-892/1,"Abrazadera cadmeada 3"" 5/8",5615.61,,,,
A-893,"Abrazadera cadmeada 4""",5927.77,,,,
A-893/1,"Abrazadera cadmeada 4"" 1/8",6107.18,,,,
A-894,"Abrazadera cadmeada 4""1/2",6293.78,,,,
A-894/1,"Abrazadera cadmeada 4"" 5/8",6656.2,,,,
A-895,"Abrazadera cadmeada 5""",6875.07,,,,
A-895/1,"Abrazadera cadmeada 5"" 1/8",7391.78,,,,
A-910,Abrazadera p/Multipl.Fiat 128 Juego,6011.79,,,,
A-911,Abrazadera p/Multipl.Renault Juego,4133.12,,,,
A-912,Abrazadera p/Multipl.Citr”en Juego Chico,3220.6,,,,
A-913,Abrazadera p/M£ltipl.Citr”en Juego Grande,3220.6,,,,
A-918,Abrazadera p/M£ltipl.R 21 Juego,6172.82,,,,
APA-100,Anclaje Porta Auxiliar  S-10 (12 ->),112385.03,,,,
APA-200,Anclaje Porta Auxiliar Amarok 2.0 (10 ->),70654.38,,,,
APA-201,Anclaje Porta Auxiliar  Amarok 3.0 V6 (18->)  c/Cola Reforma,95224.29,,,,
APA-400,Anclaje Porta Auxiliar Ford Ranger (12/22),111392.05,,,,
APA-410,Anclaje Porta Auxiliar Ford Ranger (23 ->),97526.16,,,,
APA-500,Anclaje Porta Auxiliar Alaskan y Frontier 2.3 (18 ->),102942.06,,,,
APA-700,Anclaje Porta Auxiliar Toyota Hilux (16->),114676.52,,,,
AR-63,"Arrestallamas p/caño  Ø2"" 1/2",21041.25,,,,
ATR-10,"Antirrígido Articulado en 1""3/4",43370.82,,,,
ATR-12,"Antirrígido Articulado en 2""",49060.56,,,,
BR-55,"BRIDA ACOPLE 2""",8708.47,,,,
BR-1023,"BRIDA ACOPLE 3""",13845.03,,,,
BR-1024,"BRIDA ACOPLE 2""1/4",10011.8,,,,
BR-2007,"BRIDA ACOPLE 2""1/2",10741.87,,,,
C-9031,Camara Juki Dribbling,11808.89,,,,
C-9032,Camara Mondial S-1,11808.89,,,,
C-9033,Camara Mondial M1,11808.89,,,,
C-9050,Camara Garelli NOI,11808.89,,,,
C-9052,Camara Garelli NOI '92,11808.89,,,,
CA-301,Cola ac. inox. red. diam. 60 x 127 mm,29790.6,,,,
CA-301/1,Cola ac. inox. red. diam. 60 x 236 mm,40364.92,,,,
CA-302,Cola ac. inox. red. diam. 60 x 264 mm,43048.76,,,,
CA-303,Cola ac. inox. c/curva diam. 60 x 264 mm,47235.55,,,,
CA-304,"Cola ac. inox. red. diam. 3"" x 257 mm",44766.41,,,,
CA-305,"Cola ac. inox. c/curva diam. 3"" x 264 mm",50348.8,,,,
CA-307,Cola ac. inox. oval. 85 x 60 x 166 mm,37144.32,,,,
CA-312,Cola ac. inox. oval. 80 x 72 x 115 mm,47987.02,,,,
CA-314,Cola ac. inox. red. diam. 45 x 120 mm,41384.78,,,,
CA-315,"Cola ac. inox. red. diam. 3"" x 120 mm",47987.02,,,,
CA-315/1,"Cola ac. inox. red. diam. 3"" x 140 mm",55233.38,,,,
CA-330,Cola ac. inox. oval. 90 x 55 x 110 mm,53301.02,,,,
CA-331,Cola ac. inox. oval. 105 x 70 x 138 mm,51637.04,,,,
CA-332,Cola acero inox. oval. 93 x 55 x 120 mm,50670.86,,,,
CA-398,"Cola acero inox. red. diam. 3"" x 120",51583.36,,,,
CC-15,"Cola Cr. Forr.  Ø2""1/2 x 150mm  Ø entrada 2""- Tipo Turbo",16961.83,,,,
CC-16,"Cola Cromada Forr.  Ø2""1/2 x 190mm  Ø entrada 2""- Tipo Iava",17122.89,,,,
CC-17,"Cola Cromada Forr.  Ø2""1/2 x 190mm  Ø entrada 2""- Tipo Iava",17659.65,,,,
CC-19,"Cola Cromada Simple Ø1"" 3/4 x 190 mm   Tipo BMW",16800.82,,,,
CC-20,"Cola Cromada Simple Ø1"" 7/8 x 190 mm   Tipo BMW",16156.7,,,,
CC-21,"Cola Cromada Simple Ø2"" x 190 mm   Tipo BMW",16264.06,,,,
CC-22,"Cola Cromada Simple Ø2"" 1/8 x 190 mm   Tipo BMW",18733.19,,,,
CC-29,"Cola Cromada Curva Simple   Ø2"" 1/4 x 350 mm",23456.74,,,,
CC-30,"Cola Cromada Curva Simple    Ø2"" 1/2 x 350 mm",24583.95,,,,
CC-31,"Cola Cromada Forr.  Ø3"" x 190mm Ø entrada 2"" 1/8 - Ovalada",21792.76,,,,
CC-40,"Cola Cr.  Simple  Øext. entrada 2"" 1/8 x 160 mm  Ovalada",16371.41,,,,
CC-42,"Cola Crom.Ov.Simple 2""x170mm",16371.41,,,,
CC-50,"Cola Cromada Forr. Ø3"" x 175mm Ø entrada 2"" 1/8 - Tipo Lotus",22490.56,,,,
CC-55,"Cola Cromada Forr.  Ø3"" x 140mm Ø entrada 2"" 1/8 - Ovalada",21094.97,,,,
CC-55/1,"Cola Cromada Forr. Ø3"" x 140mm Øentrada 2"" 1/8 Int. Perfor.",21148.64,,,,
CC-56,"Cola Cromada Forr.  Ø3"" x 140mm Ø entrada 2"" 1/8 - Redonda",21094.97,,,,
CC-56/1,"Cola Cromada Forr. Ø3""x140mm Øext. ent. 2""1/8 Int. Perf. Red",21148.64,,,,
CC-60,"Cola Crom. Forr. Ventilada Ø2""1/2 x 145mm  Ø Ext. entrada 2""",16961.86,,,,
CC-61,"Cola Crom. Forr. Ventilada Ø3"" x 145mm Ø Ext. entrada 2"" 1/8",20611.87,,,,
CC-500,"Cola Crom. Ø Int. entr. 2""1/2 - Ø Ext. salida 3""1/2 (Recta)",22758.94,,,,
CC-501,"Cola Crom. ØInt. ent. 2""1/2- ØExt. salida 3""1/2 Rulo adentro",22758.94,,,,
CC-510,"Cola Crom. Ø Int. entr. 3"" - Ø Ext. salida 4"" (Recta)",28448.68,,,,
CC-511,"Cola Crom. Ø Int. entr. 3"" - Ø Ext. salida 4"" (Rulo adentro)",28448.68,,,,
CC-520,"Cola Crom. Ø Int. entr. 3""1/2 - Ø Ext. salida 4""1/2 (Recta)",31293.55,,,,
CC-521,"Cola Crom. ØInt. ent. 3""1/2- ØExt. salida 4""1/2 Rulo adentro",31293.55,,,,
CC-530,"Cola Crom. Ø Int. entr. 4"" - Ø Ext. salida 5"" (Recta)",33655.33,,,,
CC-531,"Cola Crom. Ø Int. entr. 4"" - Ø Ext. salida 5"" (Rulo adentro)",33655.33,,,,
CC-540,"Cola Crom. Ø Int. entr. 4""1/2 - Ø Ext. salida 5""1/2 (Recta)",40096.54,,,,
CC-541,"Cola Crom. ØInt. ent. 4""1/2- ØExt. salida 5""1/2 Rulo adentro",40096.54,,,,
